StudyHours,Attendance,Assignments,Score
7,84,77,68.9
4,86,63,58.3
8,96,44,84.3
5,63,91,58.4
7,52,73,60.4
3,50,45,44.5
7,54,61,66.6
8,75,50,87.8
5,63,87,54.7
4,88,55,61.0
8,76,72,78.8
8,58,48,67.3
3,64,99,58.6
6,64,98,68.7
5,75,45,46.8
2,91,55,44.1
8,62,68,79.0
6,81,42,68.6
2,88,59,46.3
5,98,99,76.7
1,81,98,62.8
6,53,75,60.7
9,79,58,80.2
1,86,65,44.8
3,72,42,48.0
7,88,58,71.3
4,94,59,63.0
9,64,71,68.7
3,92,46,53.5
5,78,91,66.9
3,85,80,55.4
7,62,72,65.6
5,81,79,62.1
9,56,78,73.3
7,71,57,56.1
2,77,79,47.6
4,51,40,48.8
9,91,50,80.6
2,94,67,54.8
9,55,96,75.3
5,77,64,54.4
2,77,89,47.1
4,93,62,55.2
7,93,70,71.0
8,69,69,76.7
3,79,81,63.8
1,60,74,34.5
4,77,46,43.8
2,74,99,55.3
8,88,55,70.2
4,82,65,51.7
2,50,87,44.9
6,76,96,71.2
6,62,91,63.4
4,90,99,67.1
6,52,88,61.2
2,88,41,54.0
2,55,40,31.1
4,57,87,49.9
8,76,51,70.7
7,58,44,59.1
9,86,76,89.0
8,82,71,68.8
5,91,98,74.0
2,93,94,54.0
5,73,48,60.4
8,64,80,75.0
9,81,74,86.7
9,81,58,78.9
1,73,87,46.5
9,90,55,91.3
7,98,42,69.1
9,98,59,85.7
8,61,63,68.5
1,88,93,58.0
8,51,95,72.1
8,52,72,66.3
3,98,63,54.1
1,86,91,48.3
8,98,50,75.4
3,66,88,50.6
3,98,47,54.6
1,51,75,34.7
5,51,77,59.9
7,77,79,72.3
9,72,59,77.4
7,86,74,77.0
9,81,87,97.9
8,82,64,73.5
2,50,74,49.4
1,68,64,32.3
7,51,68,65.0
7,93,57,72.6
8,75,85,75.4
5,81,57,64.2
3,55,41,42.7
8,81,93,80.5
6,53,74,50.2
3,60,55,41.9
1,66,80,41.5
